card_name,player_name,grade,target_resale_value,exclude_keywords,allow_numbered_parallel,last_checked,source,notes
2024 Panini Prizm Angel Reese Rookie PSA 10,Angel Reese,PSA 10,40.00,,,2026-08-15,sportscardspro price guide,[WNBA] Huge name recognition.
2020 Panini Prizm WNBA A'ja Wilson Rookie PSA 10,A'ja Wilson,PSA 10,16.00,,,2026-08-15,sportscardspro price guide,[WNBA] Reigning superstar but base-card market surprisingly modest.
2021 Panini Prizm WNBA Sophie Cunningham Rookie PSA 10,Sophie Cunningham,PSA 10,411.32,,,2026-08-15,sportscardspro price guide,[WNBA] Viral social-media fame spiked her card market hard in 2026.
2024 Panini Prizm WNBA Cameron Brink Rookie PSA 10,Cameron Brink,PSA 10,41.74,,,2026-08-15,sportscardspro price guide,[WNBA] Popular 2024 rookie class member.
2020 Panini Prizm WNBA Sabrina Ionescu Rookie PSA 10,Sabrina Ionescu,PSA 10,80.68,,,2026-08-15,sportscardspro price guide,"[WNBA] Steady star demand, Liberty champion."
2025 Panini Prizm WNBA Dominique Malonga Rookie PSA 10,Dominique Malonga,PSA 10,35.85,,,2026-08-15,sportscardspro price guide,"[WNBA] Breakout year-2 big man, Storm cornerstone."
2020 Panini Prizm WNBA Kelsey Plum Rookie PSA 10,Kelsey Plum,PSA 10,35.38,,,2026-08-15,sportscardspro price guide,"[WNBA] Established veteran star, steady demand."
2016 Rittenhouse WNBA Breanna Stewart Rookie PSA 9,Breanna Stewart,PSA 9,75.00,,,2026-08-15,web search estimate (verify before relying on this),"[WNBA] Beckett-ranked #1 most valuable WNBA rookie card, low PSA pop."
2025 Panini Donruss WNBA Sonia Citron Rated Rookie PSA 10,Sonia Citron,PSA 10,45.32,,,2026-08-15,sportscardspro price guide,[WNBA] Fast riser.
2023 Panini Prizm WNBA Aliyah Boston Rookie PSA 10,Aliyah Boston,PSA 10,65.55,,,2026-08-15,sportscardspro price guide,"[WNBA] Former ROY, steady collector base."
2022 Panini Prizm WNBA Lexie Hull Rookie PSA 10,Lexie Hull,PSA 10,68.00,,,2026-08-15,sportscardspro price guide,[WNBA] Fever fan favorite riding Caitlin Clark-era team hype.
2020 Panini Prizm WNBA Napheesa Collier Rookie PSA 10,Napheesa Collier,PSA 10,8.00,,,2026-08-15,sportscardspro price guide,[WNBA] MVP-caliber Lynx star but base-card market very thin.
2024 Panini Select WNBA Rickea Jackson Rookie PSA 10,Rickea Jackson,PSA 10,26.00,,,2026-08-15,sportscardspro price guide,"[WNBA] Sparks scorer, growing collector following."
2026 Panini Instant WNBA Azzi Fudd Draft Night Rookie PSA 10,Azzi Fudd,PSA 10,80.31,,,2026-08-15,sportscardspro price guide,"[WNBA] 2026 #1 overall pick, early-market pricing."
2026 Panini Instant WNBA Lauren Betts Draft Night Rookie PSA 10,Lauren Betts,PSA 10,66.41,,,2026-08-15,sportscardspro price guide,[WNBA] Highly touted 2026 rookie big.
2026 Panini Instant WNBA Flau'jae Johnson Draft Night Rookie PSA 10,Flau'jae Johnson,PSA 10,91.84,,,2026-08-15,"sportscardspro price guide (partly estimated, verify before relying on this)",[WNBA] Rapper/athlete crossover appeal boosting demand.
2020 Panini Prizm WNBA Satou Sabally Rookie PSA 10,Satou Sabally,PSA 10,49.47,,,2026-08-15,sportscardspro price guide,"[WNBA] Wings veteran star, consistent modest demand."
